"Statistic","Month","Age Group","Sex","UNIT","VALUE"
"Seasonally Adjusted Monthly Unemployment","2017M01","25 - 74 years","Both sexes","Thousand","130.7"
"Seasonally Adjusted Monthly Unemployment","2017M01","25 - 74 years","Male","Thousand","71.6"
"Seasonally Adjusted Monthly Unemployment","2017M01","25 - 74 years","Female","Thousand","59.1"
"Seasonally Adjusted Monthly Unemployment","2017M02","15 - 24 years","Both sexes","Thousand","39.5"
"Seasonally Adjusted Monthly Unemployment","2017M02","15 - 24 years","Male","Thousand","21.5"
"Seasonally Adjusted Monthly Unemployment","2017M02","15 - 24 years","Female","Thousand","18"
"Seasonally Adjusted Monthly Unemployment","2017M02","15 - 74 years","Both sexes","Thousand","169.6"
"Seasonally Adjusted Monthly Unemployment","2017M02","15 - 74 years","Male","Thousand","93.4"
"Seasonally Adjusted Monthly Unemployment","2017M02","15 - 74 years","Female","Thousand","76.2"
"Seasonally Adjusted Monthly Unemployment","2017M02","25 - 74 years","Both sexes","Thousand","130.1"
"Seasonally Adjusted Monthly Unemployment","2017M02","25 - 74 years","Male","Thousand","71.9"
"Seasonally Adjusted Monthly Unemployment","2017M02","25 - 74 years","Female","Thousand","58.2"
"Seasonally Adjusted Monthly Unemployment","2017M03","15 - 24 years","Both sexes","Thousand","39.8"
"Seasonally Adjusted Monthly Unemployment","2017M03","15 - 24 years","Male","Thousand","22.7"
"Seasonally Adjusted Monthly Unemployment","2017M03","15 - 24 years","Female","Thousand","17.1"
"Seasonally Adjusted Monthly Unemployment","2017M03","15 - 74 years","Both sexes","Thousand","165.9"
"Seasonally Adjusted Monthly Unemployment","2017M03","15 - 74 years","Male","Thousand","93.5"
"Seasonally Adjusted Monthly Unemployment","2017M03","15 - 74 years","Female","Thousand","72.4"
"Seasonally Adjusted Monthly Unemployment","2017M03","25 - 74 years","Both sexes","Thousand","126.1"
"Seasonally Adjusted Monthly Unemployment","2017M03","25 - 74 years","Male","Thousand","70.8"
"Seasonally Adjusted Monthly Unemployment","2017M03","25 - 74 years","Female","Thousand","55.4"
"Seasonally Adjusted Monthly Unemployment","2017M04","15 - 24 years","Both sexes","Thousand","40.7"
"Seasonally Adjusted Monthly Unemployment","2017M04","15 - 24 years","Male","Thousand","24.4"
"Seasonally Adjusted Monthly Unemployment","2017M04","15 - 24 years","Female","Thousand","16.3"
"Seasonally Adjusted Monthly Unemployment","2017M04","15 - 74 years","Both sexes","Thousand","158.5"
"Seasonally Adjusted Monthly Unemployment","2017M04","15 - 74 years","Male","Thousand","92.6"
"Seasonally Adjusted Monthly Unemployment","2017M04","15 - 74 years","Female","Thousand","65.8"
"Seasonally Adjusted Monthly Unemployment","2017M04","25 - 74 years","Both sexes","Thousand","117.8"
"Seasonally Adjusted Monthly Unemployment","2017M04","25 - 74 years","Male","Thousand","68.3"
"Seasonally Adjusted Monthly Unemployment","2017M04","25 - 74 years","Female","Thousand","49.5"
"Seasonally Adjusted Monthly Unemployment","2017M05","15 - 24 years","Both sexes","Thousand","41.1"
"Seasonally Adjusted Monthly Unemployment","2017M05","15 - 24 years","Male","Thousand","25.2"
"Seasonally Adjusted Monthly Unemployment","2017M05","15 - 24 years","Female","Thousand","16"
"Seasonally Adjusted Monthly Unemployment","2017M05","15 - 74 years","Both sexes","Thousand","153.8"
"Seasonally Adjusted Monthly Unemployment","2017M05","15 - 74 years","Male","Thousand","91.9"
"Seasonally Adjusted Monthly Unemployment","2017M05","15 - 74 years","Female","Thousand","61.9"
"Seasonally Adjusted Monthly Unemployment","2017M05","25 - 74 years","Both sexes","Thousand","112.7"
"Seasonally Adjusted Monthly Unemployment","2017M05","25 - 74 years","Male","Thousand","66.7"
"Seasonally Adjusted Monthly Unemployment","2017M05","25 - 74 years","Female","Thousand","45.9"
"Seasonally Adjusted Monthly Unemployment","2017M06","15 - 24 years","Both sexes","Thousand","40.9"
"Seasonally Adjusted Monthly Unemployment","2017M06","15 - 24 years","Male","Thousand","24.7"
"Seasonally Adjusted Monthly Unemployment","2017M06","15 - 24 years","Female","Thousand","16.2"
"Seasonally Adjusted Monthly Unemployment","2017M06","15 - 74 years","Both sexes","Thousand","153.6"
"Seasonally Adjusted Monthly Unemployment","2017M06","15 - 74 years","Male","Thousand","91"
"Seasonally Adjusted Monthly Unemployment","2017M06","15 - 74 years","Female","Thousand","62.6"
"Seasonally Adjusted Monthly Unemployment","2017M06","25 - 74 years","Both sexes","Thousand","112.7"
"Seasonally Adjusted Monthly Unemployment","2017M06","25 - 74 years","Male","Thousand","66.2"
"Seasonally Adjusted Monthly Unemployment","2017M06","25 - 74 years","Female","Thousand","46.4"
"Seasonally Adjusted Monthly Unemployment","2017M07","15 - 24 years","Both sexes","Thousand","39.7"
"Seasonally Adjusted Monthly Unemployment","2017M07","15 - 24 years","Male","Thousand","22.7"
"Seasonally Adjusted Monthly Unemployment","2017M07","15 - 24 years","Female","Thousand","17"
"Seasonally Adjusted Monthly Unemployment","2017M07","15 - 74 years","Both sexes","Thousand","155.1"
"Seasonally Adjusted Monthly Unemployment","2017M07","15 - 74 years","Male","Thousand","89"
"Seasonally Adjusted Monthly Unemployment","2017M07","15 - 74 years","Female","Thousand","66.2"
"Seasonally Adjusted Monthly Unemployment","2017M07","25 - 74 years","Both sexes","Thousand","115.4"
"Seasonally Adjusted Monthly Unemployment","2017M07","25 - 74 years","Male","Thousand","66.3"
"Seasonally Adjusted Monthly Unemployment","2017M07","25 - 74 years","Female","Thousand","49.2"
"Seasonally Adjusted Monthly Unemployment","2017M08","15 - 24 years","Both sexes","Thousand","38.6"
"Seasonally Adjusted Monthly Unemployment","2017M08","15 - 24 years","Male","Thousand","21.8"
"Seasonally Adjusted Monthly Unemployment","2017M08","15 - 24 years","Female","Thousand","16.8"
"Seasonally Adjusted Monthly Unemployment","2017M08","15 - 74 years","Both sexes","Thousand","154.3"
"Seasonally Adjusted Monthly Unemployment","2017M08","15 - 74 years","Male","Thousand","87.6"
"Seasonally Adjusted Monthly Unemployment","2017M08","15 - 74 years","Female","Thousand","66.7"
"Seasonally Adjusted Monthly Unemployment","2017M08","25 - 74 years","Both sexes","Thousand","115.7"
"Seasonally Adjusted Monthly Unemployment","2017M08","25 - 74 years","Male","Thousand","65.8"
"Seasonally Adjusted Monthly Unemployment","2017M08","25 - 74 years","Female","Thousand","49.8"
"Seasonally Adjusted Monthly Unemployment","2017M09","15 - 24 years","Both sexes","Thousand","38.7"
"Seasonally Adjusted Monthly Unemployment","2017M09","15 - 24 years","Male","Thousand","22"
"Seasonally Adjusted Monthly Unemployment","2017M09","15 - 24 years","Female","Thousand","16.7"
"Seasonally Adjusted Monthly Unemployment","2017M09","15 - 74 years","Both sexes","Thousand","155.4"
"Seasonally Adjusted Monthly Unemployment","2017M09","15 - 74 years","Male","Thousand","87.9"
"Seasonally Adjusted Monthly Unemployment","2017M09","15 - 74 years","Female","Thousand","67.5"
"Seasonally Adjusted Monthly Unemployment","2017M09","25 - 74 years","Both sexes","Thousand","116.8"
"Seasonally Adjusted Monthly Unemployment","2017M09","25 - 74 years","Male","Thousand","65.9"
"Seasonally Adjusted Monthly Unemployment","2017M09","25 - 74 years","Female","Thousand","50.8"
"Seasonally Adjusted Monthly Unemployment","2017M10","15 - 24 years","Both sexes","Thousand","38"
"Seasonally Adjusted Monthly Unemployment","2017M10","15 - 24 years","Male","Thousand","22.6"
"Seasonally Adjusted Monthly Unemployment","2017M10","15 - 24 years","Female","Thousand","15.4"
"Seasonally Adjusted Monthly Unemployment","2017M10","15 - 74 years","Both sexes","Thousand","154.4"
"Seasonally Adjusted Monthly Unemployment","2017M10","15 - 74 years","Male","Thousand","88.7"
"Seasonally Adjusted Monthly Unemployment","2017M10","15 - 74 years","Female","Thousand","65.7"
"Seasonally Adjusted Monthly Unemployment","2017M10","25 - 74 years","Both sexes","Thousand","116.4"
"Seasonally Adjusted Monthly Unemployment","2017M10","25 - 74 years","Male","Thousand","66.2"
"Seasonally Adjusted Monthly Unemployment","2017M10","25 - 74 years","Female","Thousand","50.3"
"Seasonally Adjusted Monthly Unemployment","2017M11","15 - 24 years","Both sexes","Thousand","37.6"
"Seasonally Adjusted Monthly Unemployment","2017M11","15 - 24 years","Male","Thousand","22.7"
"Seasonally Adjusted Monthly Unemployment","2017M11","15 - 24 years","Female","Thousand","14.8"
"Seasonally Adjusted Monthly Unemployment","2017M11","15 - 74 years","Both sexes","Thousand","151.7"
"Seasonally Adjusted Monthly Unemployment","2017M11","15 - 74 years","Male","Thousand","87.3"
"Seasonally Adjusted Monthly Unemployment","2017M11","15 - 74 years","Female","Thousand","64.3"
"Seasonally Adjusted Monthly Unemployment","2017M11","25 - 74 years","Both sexes","Thousand","114.1"
"Seasonally Adjusted Monthly Unemployment","2017M11","25 - 74 years","Male","Thousand","64.6"
"Seasonally Adjusted Monthly Unemployment","2017M11","25 - 74 years","Female","Thousand","49.5"
"Seasonally Adjusted Monthly Unemployment","2017M12","15 - 24 years","Both sexes","Thousand","38.3"
"Seasonally Adjusted Monthly Unemployment","2017M12","15 - 24 years","Male","Thousand","22.6"
"Seasonally Adjusted Monthly Unemployment","2017M12","15 - 24 years","Female","Thousand","15.7"
"Seasonally Adjusted Monthly Unemployment","2017M12","15 - 74 years","Both sexes","Thousand","148"
"Seasonally Adjusted Monthly Unemployment","2017M12","15 - 74 years","Male","Thousand","84.5"
"Seasonally Adjusted Monthly Unemployment","2017M12","15 - 74 years","Female","Thousand","63.5"
"Seasonally Adjusted Monthly Unemployment","2017M12","25 - 74 years","Both sexes","Thousand","109.7"
"Seasonally Adjusted Monthly Unemployment","2017M12","25 - 74 years","Male","Thousand","61.9"
"Seasonally Adjusted Monthly Unemployment","2017M12","25 - 74 years","Female","Thousand","47.8"
"Seasonally Adjusted Monthly Unemployment","2018M01","15 - 24 years","Both sexes","Thousand","37.3"
"Seasonally Adjusted Monthly Unemployment","2018M01","15 - 24 years","Male","Thousand","20.3"
"Seasonally Adjusted Monthly Unemployment","2018M01","15 - 24 years","Female","Thousand","17"
"Seasonally Adjusted Monthly Unemployment","2018M01","15 - 74 years","Both sexes","Thousand","141.6"
"Seasonally Adjusted Monthly Unemployment","2018M01","15 - 74 years","Male","Thousand","78.3"
"Seasonally Adjusted Monthly Unemployment","2018M01","15 - 74 years","Female","Thousand","63.3"
"Seasonally Adjusted Monthly Unemployment","2018M01","25 - 74 years","Both sexes","Thousand","104.2"
"Seasonally Adjusted Monthly Unemployment","2018M01","25 - 74 years","Male","Thousand","57.9"
"Seasonally Adjusted Monthly Unemployment","2018M01","25 - 74 years","Female","Thousand","46.3"
"Seasonally Adjusted Monthly Unemployment","2018M02","15 - 24 years","Both sexes","Thousand","37.7"
"Seasonally Adjusted Monthly Unemployment","2018M02","15 - 24 years","Male","Thousand","20"
"Seasonally Adjusted Monthly Unemployment","2018M02","15 - 24 years","Female","Thousand","17.8"
"Seasonally Adjusted Monthly Unemployment","2018M02","15 - 74 years","Both sexes","Thousand","139.1"
"Seasonally Adjusted Monthly Unemployment","2018M02","15 - 74 years","Male","Thousand","75.7"
"Seasonally Adjusted Monthly Unemployment","2018M02","15 - 74 years","Female","Thousand","63.3"
"Seasonally Adjusted Monthly Unemployment","2018M02","25 - 74 years","Both sexes","Thousand","101.3"
"Seasonally Adjusted Monthly Unemployment","2018M02","25 - 74 years","Male","Thousand","55.8"
"Seasonally Adjusted Monthly Unemployment","2018M02","25 - 74 years","Female","Thousand","45.6"
"Seasonally Adjusted Monthly Unemployment","2018M03","15 - 24 years","Both sexes","Thousand","37.7"
"Seasonally Adjusted Monthly Unemployment","2018M03","15 - 24 years","Male","Thousand","20.6"
"Seasonally Adjusted Monthly Unemployment","2018M03","15 - 24 years","Female","Thousand","17.1"
"Seasonally Adjusted Monthly Unemployment","2018M03","15 - 74 years","Both sexes","Thousand","137.5"
"Seasonally Adjusted Monthly Unemployment","2018M03","15 - 74 years","Male","Thousand","75.3"
"Seasonally Adjusted Monthly Unemployment","2018M03","15 - 74 years","Female","Thousand","62.2"
"Seasonally Adjusted Monthly Unemployment","2018M03","25 - 74 years","Both sexes","Thousand","99.8"
"Seasonally Adjusted Monthly Unemployment","2018M03","25 - 74 years","Male","Thousand","54.7"
"Seasonally Adjusted Monthly Unemployment","2018M03","25 - 74 years","Female","Thousand","45.1"
"Seasonally Adjusted Monthly Unemployment","2018M04","15 - 24 years","Both sexes","Thousand","38.1"
"Seasonally Adjusted Monthly Unemployment","2018M04","15 - 24 years","Male","Thousand","21.4"
"Seasonally Adjusted Monthly Unemployment","2018M04","15 - 24 years","Female","Thousand","16.7"
"Seasonally Adjusted Monthly Unemployment","2018M04","15 - 74 years","Both sexes","Thousand","140.9"
"Seasonally Adjusted Monthly Unemployment","2018M04","15 - 74 years","Male","Thousand","78.7"
"Seasonally Adjusted Monthly Unemployment","2018M04","15 - 74 years","Female","Thousand","62.2"
"Seasonally Adjusted Monthly Unemployment","2018M04","25 - 74 years","Both sexes","Thousand","102.8"
"Seasonally Adjusted Monthly Unemployment","2018M04","25 - 74 years","Male","Thousand","57.3"
"Seasonally Adjusted Monthly Unemployment","2018M04","25 - 74 years","Female","Thousand","45.5"
"Seasonally Adjusted Monthly Unemployment","2018M05","15 - 24 years","Both sexes","Thousand","39.1"
"Seasonally Adjusted Monthly Unemployment","2018M05","15 - 24 years","Male","Thousand","22.4"
"Seasonally Adjusted Monthly Unemployment","2018M05","15 - 24 years","Female","Thousand","16.7"
"Seasonally Adjusted Monthly Unemployment","2018M05","15 - 74 years","Both sexes","Thousand","141.3"
"Seasonally Adjusted Monthly Unemployment","2018M05","15 - 74 years","Male","Thousand","79.7"
"Seasonally Adjusted Monthly Unemployment","2018M05","15 - 74 years","Female","Thousand","61.6"
"Seasonally Adjusted Monthly Unemployment","2018M05","25 - 74 years","Both sexes","Thousand","102.2"
"Seasonally Adjusted Monthly Unemployment","2018M05","25 - 74 years","Male","Thousand","57.4"
"Seasonally Adjusted Monthly Unemployment","2018M05","25 - 74 years","Female","Thousand","44.9"
"Seasonally Adjusted Monthly Unemployment","2018M06","15 - 24 years","Both sexes","Thousand","38.9"
"Seasonally Adjusted Monthly Unemployment","2018M06","15 - 24 years","Male","Thousand","22.3"
"Seasonally Adjusted Monthly Unemployment","2018M06","15 - 24 years","Female","Thousand","16.7"
"Seasonally Adjusted Monthly Unemployment","2018M06","15 - 74 years","Both sexes","Thousand","138.6"
"Seasonally Adjusted Monthly Unemployment","2018M06","15 - 74 years","Male","Thousand","77.4"
"Seasonally Adjusted Monthly Unemployment","2018M06","15 - 74 years","Female","Thousand","61.1"
"Seasonally Adjusted Monthly Unemployment","2018M06","25 - 74 years","Both sexes","Thousand","99.6"
"Seasonally Adjusted Monthly Unemployment","2018M06","25 - 74 years","Male","Thousand","55.2"
"Seasonally Adjusted Monthly Unemployment","2018M06","25 - 74 years","Female","Thousand","44.5"
"Seasonally Adjusted Monthly Unemployment","2018M07","15 - 24 years","Both sexes","Thousand","39.6"
"Seasonally Adjusted Monthly Unemployment","2018M07","15 - 24 years","Male","Thousand","22.3"
"Seasonally Adjusted Monthly Unemployment","2018M07","15 - 24 years","Female","Thousand","17.4"
"Seasonally Adjusted Monthly Unemployment","2018M07","15 - 74 years","Both sexes","Thousand","135.7"
"Seasonally Adjusted Monthly Unemployment","2018M07","15 - 74 years","Male","Thousand","74.3"
"Seasonally Adjusted Monthly Unemployment","2018M07","15 - 74 years","Female","Thousand","61.4"
"Seasonally Adjusted Monthly Unemployment","2018M07","25 - 74 years","Both sexes","Thousand","96.1"
"Seasonally Adjusted Monthly Unemployment","2018M07","25 - 74 years","Male","Thousand","52"
"Seasonally Adjusted Monthly Unemployment","2018M07","25 - 74 years","Female","Thousand","44"
"Seasonally Adjusted Monthly Unemployment","2018M08","15 - 24 years","Both sexes","Thousand","40"
"Seasonally Adjusted Monthly Unemployment","2018M08","15 - 24 years","Male","Thousand","22.5"
"Seasonally Adjusted Monthly Unemployment","2018M08","15 - 24 years","Female","Thousand","17.6"
"Seasonally Adjusted Monthly Unemployment","2018M08","15 - 74 years","Both sexes","Thousand","134.2"
"Seasonally Adjusted Monthly Unemployment","2018M08","15 - 74 years","Male","Thousand","72.3"
"Seasonally Adjusted Monthly Unemployment","2018M08","15 - 74 years","Female","Thousand","61.9"
"Seasonally Adjusted Monthly Unemployment","2018M08","25 - 74 years","Both sexes","Thousand","94.2"
"Seasonally Adjusted Monthly Unemployment","2018M08","25 - 74 years","Male","Thousand","49.8"
"Seasonally Adjusted Monthly Unemployment","2018M08","25 - 74 years","Female","Thousand","44.3"
"Seasonally Adjusted Monthly Unemployment","2018M09","15 - 24 years","Both sexes","Thousand","39.9"
"Seasonally Adjusted Monthly Unemployment","2018M09","15 - 24 years","Male","Thousand","22.7"
"Seasonally Adjusted Monthly Unemployment","2018M09","15 - 24 years","Female","Thousand","17.2"
"Seasonally Adjusted Monthly Unemployment","2018M09","15 - 74 years","Both sexes","Thousand","134.5"
"Seasonally Adjusted Monthly Unemployment","2018M09","15 - 74 years","Male","Thousand","71.4"
"Seasonally Adjusted Monthly Unemployment","2018M09","15 - 74 years","Female","Thousand","63.1"
"Seasonally Adjusted Monthly Unemployment","2018M09","25 - 74 years","Both sexes","Thousand","94.6"
"Seasonally Adjusted Monthly Unemployment","2018M09","25 - 74 years","Male","Thousand","48.7"
"Seasonally Adjusted Monthly Unemployment","2018M09","25 - 74 years","Female","Thousand","45.9"
"Seasonally Adjusted Monthly Unemployment","2018M10","15 - 24 years","Both sexes","Thousand","39.9"
"Seasonally Adjusted Monthly Unemployment","2018M10","15 - 24 years","Male","Thousand","23.5"
"Seasonally Adjusted Monthly Unemployment","2018M10","15 - 24 years","Female","Thousand","16.4"
"Seasonally Adjusted Monthly Unemployment","2018M10","15 - 74 years","Both sexes","Thousand","138.4"
"Seasonally Adjusted Monthly Unemployment","2018M10","15 - 74 years","Male","Thousand","73"
"Seasonally Adjusted Monthly Unemployment","2018M10","15 - 74 years","Female","Thousand","65.3"
"Seasonally Adjusted Monthly Unemployment","2018M10","25 - 74 years","Both sexes","Thousand","98.4"
"Seasonally Adjusted Monthly Unemployment","2018M10","25 - 74 years","Male","Thousand","49.5"
"Seasonally Adjusted Monthly Unemployment","2018M10","25 - 74 years","Female","Thousand","48.9"
"Seasonally Adjusted Monthly Unemployment","2018M11","15 - 24 years","Both sexes","Thousand","39.5"
"Seasonally Adjusted Monthly Unemployment","2018M11","15 - 24 years","Male","Thousand","24"
"Seasonally Adjusted Monthly Unemployment","2018M11","15 - 24 years","Female","Thousand","15.5"
"Seasonally Adjusted Monthly Unemployment","2018M11","15 - 74 years","Both sexes","Thousand","137.5"
"Seasonally Adjusted Monthly Unemployment","2018M11","15 - 74 years","Male","Thousand","73.3"
"Seasonally Adjusted Monthly Unemployment","2018M11","15 - 74 years","Female","Thousand","64.2"
"Seasonally Adjusted Monthly Unemployment","2018M11","25 - 74 years","Both sexes","Thousand","98"
"Seasonally Adjusted Monthly Unemployment","2018M11","25 - 74 years","Male","Thousand","49.2"
"Seasonally Adjusted Monthly Unemployment","2018M11","25 - 74 years","Female","Thousand","48.8"
"Seasonally Adjusted Monthly Unemployment","2018M12","15 - 24 years","Both sexes","Thousand","38.4"
"Seasonally Adjusted Monthly Unemployment","2018M12","15 - 24 years","Male","Thousand","23.4"
"Seasonally Adjusted Monthly Unemployment","2018M12","15 - 24 years","Female","Thousand","15"
"Seasonally Adjusted Monthly Unemployment","2018M12","15 - 74 years","Both sexes","Thousand","132.8"
"Seasonally Adjusted Monthly Unemployment","2018M12","15 - 74 years","Male","Thousand","72.5"
"Seasonally Adjusted Monthly Unemployment","2018M12","15 - 74 years","Female","Thousand","60.3"
"Seasonally Adjusted Monthly Unemployment","2018M12","25 - 74 years","Both sexes","Thousand","94.4"
"Seasonally Adjusted Monthly Unemployment","2018M12","25 - 74 years","Male","Thousand","49.1"
"Seasonally Adjusted Monthly Unemployment","2018M12","25 - 74 years","Female","Thousand","45.3"
"Seasonally Adjusted Monthly Unemployment","2019M01","15 - 24 years","Both sexes","Thousand","34.2"
"Seasonally Adjusted Monthly Unemployment","2019M01","15 - 24 years","Male","Thousand","19.9"
"Seasonally Adjusted Monthly Unemployment","2019M01","15 - 24 years","Female","Thousand","14.3"
"Seasonally Adjusted Monthly Unemployment","2019M01","15 - 74 years","Both sexes","Thousand","121.7"
"Seasonally Adjusted Monthly Unemployment","2019M01","15 - 74 years","Male","Thousand","68.2"
"Seasonally Adjusted Monthly Unemployment","2019M01","15 - 74 years","Female","Thousand","53.5"
"Seasonally Adjusted Monthly Unemployment","2019M01","25 - 74 years","Both sexes","Thousand","87.5"
"Seasonally Adjusted Monthly Unemployment","2019M01","25 - 74 years","Male","Thousand","48.3"
"Seasonally Adjusted Monthly Unemployment","2019M01","25 - 74 years","Female","Thousand","39.1"
"Seasonally Adjusted Monthly Unemployment","2019M02","15 - 24 years","Both sexes","Thousand","34"
"Seasonally Adjusted Monthly Unemployment","2019M02","15 - 24 years","Male","Thousand","20"
"Seasonally Adjusted Monthly Unemployment","2019M02","15 - 24 years","Female","Thousand","14"
"Seasonally Adjusted Monthly Unemployment","2019M02","15 - 74 years","Both sexes","Thousand","117.9"
"Seasonally Adjusted Monthly Unemployment","2019M02","15 - 74 years","Male","Thousand","67.4"
"Seasonally Adjusted Monthly Unemployment","2019M02","15 - 74 years","Female","Thousand","50.5"
"Seasonally Adjusted Monthly Unemployment","2019M02","25 - 74 years","Both sexes","Thousand","83.8"
"Seasonally Adjusted Monthly Unemployment","2019M02","25 - 74 years","Male","Thousand","47.4"
"Seasonally Adjusted Monthly Unemployment","2019M02","25 - 74 years","Female","Thousand","36.4"
"Seasonally Adjusted Monthly Unemployment","2019M03","15 - 24 years","Both sexes","Thousand","36.7"
"Seasonally Adjusted Monthly Unemployment","2019M03","15 - 24 years","Male","Thousand","22"
"Seasonally Adjusted Monthly Unemployment","2019M03","15 - 24 years","Female","Thousand","14.6"
"Seasonally Adjusted Monthly Unemployment","2019M03","15 - 74 years","Both sexes","Thousand","120.9"
"Seasonally Adjusted Monthly Unemployment","2019M03","15 - 74 years","Male","Thousand","68.9"
"Seasonally Adjusted Monthly Unemployment","2019M03","15 - 74 years","Female","Thousand","52"
"Seasonally Adjusted Monthly Unemployment","2019M03","25 - 74 years","Both sexes","Thousand","84.2"
"Seasonally Adjusted Monthly Unemployment","2019M03","25 - 74 years","Male","Thousand","46.8"
"Seasonally Adjusted Monthly Unemployment","2019M03","25 - 74 years","Female","Thousand","37.4"
"Seasonally Adjusted Monthly Unemployment","2019M04","15 - 24 years","Both sexes","Thousand","39.5"
"Seasonally Adjusted Monthly Unemployment","2019M04","15 - 24 years","Male","Thousand","24.2"
"Seasonally Adjusted Monthly Unemployment","2019M04","15 - 24 years","Female","Thousand","15.3"
"Seasonally Adjusted Monthly Unemployment","2019M04","15 - 74 years","Both sexes","Thousand","124.9"
"Seasonally Adjusted Monthly Unemployment","2019M04","15 - 74 years","Male","Thousand","69.9"
"Seasonally Adjusted Monthly Unemployment","2019M04","15 - 74 years","Female","Thousand","55"
"Seasonally Adjusted Monthly Unemployment","2019M04","25 - 74 years","Both sexes","Thousand","85.4"
"Seasonally Adjusted Monthly Unemployment","2019M04","25 - 74 years","Male","Thousand","45.7"
"Seasonally Adjusted Monthly Unemployment","2019M04","25 - 74 years","Female","Thousand","39.7"
"Seasonally Adjusted Monthly Unemployment","2019M05","15 - 24 years","Both sexes","Thousand","41.3"
"Seasonally Adjusted Monthly Unemployment","2019M05","15 - 24 years","Male","Thousand","25.6"
"Seasonally Adjusted Monthly Unemployment","2019M05","15 - 24 years","Female","Thousand","15.7"
"Seasonally Adjusted Monthly Unemployment","2019M05","15 - 74 years","Both sexes","Thousand","127.1"
"Seasonally Adjusted Monthly Unemployment","2019M05","15 - 74 years","Male","Thousand","71.3"
"Seasonally Adjusted Monthly Unemployment","2019M05","15 - 74 years","Female","Thousand","55.8"
"Seasonally Adjusted Monthly Unemployment","2019M05","25 - 74 years","Both sexes","Thousand","85.8"
"Seasonally Adjusted Monthly Unemployment","2019M05","25 - 74 years","Male","Thousand","45.7"
"Seasonally Adjusted Monthly Unemployment","2019M05","25 - 74 years","Female","Thousand","40.1"
"Seasonally Adjusted Monthly Unemployment","2019M06","15 - 24 years","Both sexes","Thousand","40.5"
"Seasonally Adjusted Monthly Unemployment","2019M06","15 - 24 years","Male","Thousand","25.1"
"Seasonally Adjusted Monthly Unemployment","2019M06","15 - 24 years","Female","Thousand","15.3"
"Seasonally Adjusted Monthly Unemployment","2019M06","15 - 74 years","Both sexes","Thousand","126.2"
"Seasonally Adjusted Monthly Unemployment","2019M06","15 - 74 years","Male","Thousand","71.3"
"Seasonally Adjusted Monthly Unemployment","2019M06","15 - 74 years","Female","Thousand","54.8"
"Seasonally Adjusted Monthly Unemployment","2019M06","25 - 74 years","Both sexes","Thousand","85.7"
"Seasonally Adjusted Monthly Unemployment","2019M06","25 - 74 years","Male","Thousand","46.2"
"Seasonally Adjusted Monthly Unemployment","2019M06","25 - 74 years","Female","Thousand","39.5"
"Seasonally Adjusted Monthly Unemployment","2019M07","15 - 24 years","Both sexes","Thousand","37.9"
"Seasonally Adjusted Monthly Unemployment","2019M07","15 - 24 years","Male","Thousand","23"
"Seasonally Adjusted Monthly Unemployment","2019M07","15 - 24 years","Female","Thousand","14.8"
"Seasonally Adjusted Monthly Unemployment","2019M07","15 - 74 years","Both sexes","Thousand","122.8"
"Seasonally Adjusted Monthly Unemployment","2019M07","15 - 74 years","Male","Thousand","70.2"
"Seasonally Adjusted Monthly Unemployment","2019M07","15 - 74 years","Female","Thousand","52.7"
"Seasonally Adjusted Monthly Unemployment","2019M07","25 - 74 years","Both sexes","Thousand","85"
"Seasonally Adjusted Monthly Unemployment","2019M07","25 - 74 years","Male","Thousand","47.2"
"Seasonally Adjusted Monthly Unemployment","2019M07","25 - 74 years","Female","Thousand","37.8"
"Seasonally Adjusted Monthly Unemployment","2019M08","15 - 24 years","Both sexes","Thousand","35.6"
"Seasonally Adjusted Monthly Unemployment","2019M08","15 - 24 years","Male","Thousand","21"
"Seasonally Adjusted Monthly Unemployment","2019M08","15 - 24 years","Female","Thousand","14.6"
"Seasonally Adjusted Monthly Unemployment","2019M08","15 - 74 years","Both sexes","Thousand","119.4"
"Seasonally Adjusted Monthly Unemployment","2019M08","15 - 74 years","Male","Thousand","68.7"
"Seasonally Adjusted Monthly Unemployment","2019M08","15 - 74 years","Female","Thousand","50.7"
"Seasonally Adjusted Monthly Unemployment","2019M08","25 - 74 years","Both sexes","Thousand","83.8"
"Seasonally Adjusted Monthly Unemployment","2019M08","25 - 74 years","Male","Thousand","47.7"
"Seasonally Adjusted Monthly Unemployment","2019M08","25 - 74 years","Female","Thousand","36"
"Seasonally Adjusted Monthly Unemployment","2019M09","15 - 24 years","Both sexes","Thousand","34"
"Seasonally Adjusted Monthly Unemployment","2019M09","15 - 24 years","Male","Thousand","19.3"
"Seasonally Adjusted Monthly Unemployment","2019M09","15 - 24 years","Female","Thousand","14.7"
"Seasonally Adjusted Monthly Unemployment","2019M09","15 - 74 years","Both sexes","Thousand","116.6"
"Seasonally Adjusted Monthly Unemployment","2019M09","15 - 74 years","Male","Thousand","66.6"
"Seasonally Adjusted Monthly Unemployment","2019M09","15 - 74 years","Female","Thousand","50"
"Seasonally Adjusted Monthly Unemployment","2019M09","25 - 74 years","Both sexes","Thousand","82.6"
"Seasonally Adjusted Monthly Unemployment","2019M09","25 - 74 years","Male","Thousand","47.3"
"Seasonally Adjusted Monthly Unemployment","2019M09","25 - 74 years","Female","Thousand","35.3"
"Seasonally Adjusted Monthly Unemployment","2019M10","15 - 24 years","Both sexes","Thousand","32.2"
