"Statistic","Month","Age Group","Sex","Lower and Upper Bound","UNIT","VALUE"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","57.1"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","14.6"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","53.3"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","17.9"
"Monthly Unemployment Rate","2021M03","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","61.2"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","7.4"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","25.7"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.5"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","26"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","7.3"
"Monthly Unemployment Rate","2021M03","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","25.3"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.4"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","21.9"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.7"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","22.8"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6"
"Monthly Unemployment Rate","2021M03","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","20.8"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","19"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","62"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","16.5"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","56.1"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","21.7"
"Monthly Unemployment Rate","2021M04","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","68.5"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","7.9"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","24.8"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.8"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","24.2"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","7.9"
"Monthly Unemployment Rate","2021M04","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","25.5"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.7"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","20.8"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.9"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","20.9"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6.4"
"Monthly Unemployment Rate","2021M04","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","20.7"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","20.1"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","58.8"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","17.3"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","54"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","23"
"Monthly Unemployment Rate","2021M05","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","64"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","8"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","21.9"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.9"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","21.6"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","8.1"
"Monthly Unemployment Rate","2021M05","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","22.3"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.8"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","18.1"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","7"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","18.4"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6.5"
"Monthly Unemployment Rate","2021M05","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","17.8"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Both sexes","Lower Bound (Traditional MUR)","%","19.9"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","44.2"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Male","Lower Bound (Traditional MUR)","%","17"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","41.6"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Female","Lower Bound (Traditional MUR)","%","23"
"Monthly Unemployment Rate","2021M06","15 - 24 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","47"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","8.1"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","18.3"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Male","Lower Bound (Traditional MUR)","%","7.8"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","18"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Female","Lower Bound (Traditional MUR)","%","8.4"
"Monthly Unemployment Rate","2021M06","15 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","18.5"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Both sexes","Lower Bound (Traditional MUR)","%","6.8"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Both sexes","Upper Bound (COVID-19 Adjusted MUR)","%","15.5"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Male","Lower Bound (Traditional MUR)","%","6.9"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Male","Upper Bound (COVID-19 Adjusted MUR)","%","15.7"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Female","Lower Bound (Traditional MUR)","%","6.7"
"Monthly Unemployment Rate","2021M06","25 - 74 years","Female","Upper Bound (COVID-19 Adjusted MUR)","%","15.2"
